file,algo,outage,alpha,iter,t_attack,evict_ms,decay1_ms,min_trust,steps,period_ms,n_steps,attack_flag_ms
trial_ECC_outage5000_ewma5_iter1_1786056163.csv,ECC,5000,0.5,1,1786056188.466346,401.36051177978516,281.5213203430176,0.0,50 25 12.5 3.12 1.56 0.78 0.2 0.1 0.05 0.01 0,170.09272575378418,11,63302.58345603943
trial_ECC_outage5000_ewma5_iter2_1786059111.csv,ECC,5000,0.5,2,1786059136.739222,288.94925117492676,288.94925117492676,0.0,25 12.5 6.25 3.12 1.56 0.78 0.39 0.1 0.05 0.01 0,158.08796882629395,11,63328.75967025757
trial_ECC_outage5000_ewma5_iter3_1786053731.csv,ECC,5000,0.5,3,1786053757.1687875,350.18038749694824,230.23629188537598,0.0,50 25 6.25 3.12 1.56 0.78 0.2 0.1 0.02 0.01 0,181.97758197784424,11,63289.965867996216
trial_ECC_outage5000_ewma5_iter4_1786051466.csv,ECC,5000,0.5,4,1786051491.5956502,362.5466823577881,242.57421493530273,0.0,50 25 12.5 6.25 1.56 0.78 0.2 0.1 0.05 0.02 0.01 0,154.55330501903185,12,63282.46450424194
trial_ECC_outage5000_ewma5_iter5_1786050087.csv,ECC,5000,0.5,5,1786050114.4163811,501.326322555542,261.4562511444092,0.0,50 12.5 6.25 3.12 1.56 0.78 0.39 0.2 0.05 0.02 0.01 0,156.3642675226385,12,63301.289081573486
trial_ECC_outage5000_ewma7_iter1_1786056589.csv,ECC,5000,0.7,1,1786056614.6382277,222.6121425628662,222.6121425628662,0.0,30 9 0.81 0.24 0.07 0.01 0,163.3167266845703,7,63322.71361351013
trial_ECC_outage5000_ewma7_iter2_1786055173.csv,ECC,5000,0.7,2,1786055200.6518354,165.70425033569336,165.70425033569336,0.0,30 9 2.7 0.24 0.07 0.02 0,163.3423169453939,7,63305.732011795044
trial_ECC_outage5000_ewma7_iter3_1786052680.csv,ECC,5000,0.7,3,1786052705.993089,186.92445755004883,186.92445755004883,0.0,30 9 2.7 0.24 0.07 0.01 0,179.98202641805014,7,63306.79273605347
trial_ECC_outage5000_ewma7_iter4_1786060650.csv,ECC,5000,0.7,4,1786060675.6842375,226.74846649169922,226.74846649169922,0.0,30 9 2.7 0.81 0.07 0.02 0.01 0,157.11981909615653,8,63306.666135787964
trial_ECC_outage5000_ewma7_iter5_1786049497.csv,ECC,5000,0.7,5,1786049523.9145272,290.70448875427246,290.70448875427246,0.0,9 2.7 0.81 0.07 0.02 0.01 0,143.38878790537515,7,63310.829639434814
trial_ECC_outage5000_ewma9_iter1_1786055371.csv,ECC,5000,0.9,1,1786055397.0231934,275.9232521057129,275.9232521057129,0.0,10 1 0.1 0.01 0,149.98698234558105,5,63315.81258773804
trial_ECC_outage5000_ewma9_iter2_1786057932.csv,ECC,5000,0.9,2,1786057957.601163,234.23337936401367,234.23337936401367,0.0,10 1 0.1 0,159.97211138407388,4,63294.334411621094
trial_ECC_outage5000_ewma9_iter3_1786052089.csv,ECC,5000,0.9,3,1786052115.9455183,185.65773963928223,185.65773963928223,0.0,10 1 0.1 0.01 0,120.00703811645508,5,63305.70697784424
trial_ECC_outage5000_ewma9_iter4_1786057606.csv,ECC,5000,0.9,4,1786057631.3769445,188.65370750427246,188.65370750427246,0.0,10 0.1 0.01 0,160.01248359680176,4,63308.602809906006
trial_ECC_outage5000_ewma9_iter5_1786059600.csv,ECC,5000,0.9,5,1786059628.0455441,198.20618629455566,198.20618629455566,0.0,10 0.1 0.01 0,167.0358180999756,4,63299.48878288269
trial_ECC_outage500_ewma5_iter1_1786060944.csv,ECC,500,0.5,1,1786060970.016768,340.35658836364746,220.40581703186035,0.0,50 25 12.5 3.12 1.56 0.78 0.39 0.2 0.1 0.02 0.01 0,154.5722701332786,12,63300.32444000244
trial_ECC_outage500_ewma5_iter2_1786051270.csv,ECC,500,0.5,2,1786051295.4791818,302.4592399597168,302.4592399597168,0.0,25 12.5 6.25 3.12 1.56 0.78 0.39 0.2 0.1 0.02 0.01 0,143.622333353216,12,63322.48497009277
trial_ECC_outage500_ewma5_iter3_1786050678.csv,ECC,500,0.5,3,1786050702.967347,355.47399520874023,235.4137897491455,0.0,50 25 6.25 3.12 1.56 0.78 0.2 0.1 0.05 0.02 0.01 0,154.5685204592618,12,63315.59085845947
trial_ECC_outage500_ewma5_iter4_1786056786.csv,ECC,500,0.5,4,1786056812.543522,478.7294864654541,218.71304512023926,0.0,50 12.5 6.25 3.12 1.56 0.78 0.2 0.05 0.02 0.01 0,172.00121879577637,11,63298.58088493347
trial_ECC_outage500_ewma5_iter5_1786057704.csv,ECC,500,0.5,5,1786057729.6494884,393.84007453918457,273.8165855407715,0.0,50 25 12.5 3.12 1.56 0.39 0.2 0.05 0.02 0.01 0,169.99750137329102,11,63313.75193595886
trial_ECC_outage500_ewma7_iter1_1786052482.csv,ECC,500,0.7,1,1786052509.128578,269.08278465270996,269.08278465270996,0.0,30 9 2.7 0.81 0.07 0.02 0.01 0,157.13770048958915,8,63288.891315460205
trial_ECC_outage500_ewma7_iter2_1786057310.csv,ECC,500,0.7,2,1786057337.6417675,201.85279846191406,201.85279846191406,0.0,30 9 2.7 0.81 0.24 0.07 0.02 0,140.1458467755999,8,63321.88010215759
trial_ECC_outage500_ewma7_iter3_1786054353.csv,ECC,500,0.7,3,1786054379.5730073,182.02590942382812,182.02590942382812,0.0,30 9 2.7 0.24 0.07 0.02 0.01 0,140.0289194924491,8,63301.95426940918
trial_ECC_outage500_ewma7_iter4_1786051071.csv,ECC,500,0.7,4,1786051098.202604,248.98433685302734,248.98433685302734,0.0,30 9 0.81 0.24 0.07 0.02 0.01 0,154.296909059797,8,63310.36138534546
trial_ECC_outage500_ewma7_iter5_1786055962.csv,ECC,500,0.7,5,1786055989.4218516,173.75516891479492,173.75516891479492,0.0,30 2.7 0.24 0.07 0.02 0.01 0,183.5321585337321,7,63354.02321815491
trial_ECC_outage500_ewma9_iter1_1786058227.csv,ECC,500,0.9,1,1786058253.022462,224.77436065673828,224.77436065673828,0.0,10 1 0.1 0,159.9864959716797,4,63304.74638938904
trial_ECC_outage500_ewma9_iter2_1786060453.csv,ECC,500,0.9,2,1786060478.7907898,277.44197845458984,277.44197845458984,0.0,10 1 0.1 0,160.04554430643717,4,63317.3942565918
trial_ECC_outage500_ewma9_iter3_1786053632.csv,ECC,500,0.9,3,1786053658.3293993,275.5281925201416,275.5281925201416,0.0,10 0.1 0.01 0,159.98442967732748,4,63315.36388397217
trial_ECC_outage500_ewma9_iter4_1786054157.csv,ECC,500,0.9,4,1786054182.6576211,267.0142650604248,267.0142650604248,0.0,10 1 0.1 0,159.99658902486166,4,63306.97321891785
trial_ECC_outage500_ewma9_iter5_1786051793.csv,ECC,500,0.9,5,1786051818.1917224,169.05593872070312,169.05593872070312,0.0,10 1 0.1 0,166.67914390563965,4,63289.3328666687
trial_ZKP_outage1000_ewma5_iter1_1786057015.csv,ZKP,1000,0.5,1,1786057040.7397633,1005.742073059082,665.7693386077881,0.0,50 25 12.5 6.25 3.12 1.56 0.78 0.39 0.2 0.1 0.05 0.02 0.01 0,369.23810151907117,14,63305.79376220703
trial_ZKP_outage1000_ewma5_iter2_1786050579.csv,ZKP,1000,0.5,2,1786050605.0584126,730.6532859802246,390.9573554992676,0.0,50 25 12.5 6.25 3.12 1.56 0.78 0.39 0.1 0.05 0.01 0,436.33265928788614,12,63290.58647155762
trial_ZKP_outage1000_ewma5_iter3_1786054057.csv,ZKP,1000,0.5,3,1786054084.7030938,822.9422569274902,462.93067932128906,0.0,50 25 12.5 6.25 1.56 0.78 0.39 0.2 0.1 0.05 0.02 0.01 0,399.9979297320048,13,63302.91247367859
trial_ZKP_outage1000_ewma5_iter4_1786051890.csv,ZKP,1000,0.5,4,1786051918.1426792,1364.7358417510986,666.2373542785645,0.0,50 12.5 6.25 3.12 1.56 0.39 0.2 0.1 0.02 0.01 0,480.0069570541382,11,63304.826974868774
