timestamp,node,algorithm,cycle,exec_time_ms,trust_score
1786388975.3335352,CRYPTO_NODE,ECC,27,111.43,100.0
1786388975.4409256,CRYPTO_NODE,ECC,28,111.54,100.0
1786388975.5482333,CRYPTO_NODE,ECC,29,111.47,100.0
1786388975.6552577,CRYPTO_NODE,ECC,30,111.42,100.0
1786388975.765863,CRYPTO_NODE,ECC,31,111.59,100.0
1786388975.976413,CRYPTO_NODE,ECC,32,111.5,100.0
1786388976.0838103,CRYPTO_NODE,ECC,33,111.62,100.0
1786388976.1912525,CRYPTO_NODE,ECC,34,111.44,100.0
1786388976.2986658,CRYPTO_NODE,ECC,35,111.57,100.0
1786388976.4058926,CRYPTO_NODE,ECC,36,111.41,100.0
1786388976.512544,CRYPTO_NODE,ECC,37,111.42,100.0
1786388976.6190953,CRYPTO_NODE,ECC,38,111.46,100.0
1786388976.7390301,CRYPTO_NODE,ECC,39,111.36,100.0
1786388976.863103,CRYPTO_NODE,ECC,40,111.55,100.0
1786388976.9855676,CRYPTO_NODE,ECC,41,111.41,100.0
1786388977.1059737,CRYPTO_NODE,ECC,42,111.3,100.0
1786388977.2270787,CRYPTO_NODE,ECC,43,111.58,100.0
1786388977.3488262,CRYPTO_NODE,ECC,44,111.65,100.0
1786388977.4711382,CRYPTO_NODE,ECC,45,111.61,100.0
1786388977.5927439,CRYPTO_NODE,ECC,46,111.62,100.0
1786388977.7149322,CRYPTO_NODE,ECC,47,111.5,100.0
1786388977.8352644,CRYPTO_NODE,ECC,48,111.49,100.0
1786388977.957893,CRYPTO_NODE,ECC,49,111.5,100.0
1786388978.080287,CRYPTO_NODE,ECC,50,111.48,100.0
1786388978.203386,CRYPTO_NODE,ECC,51,111.63,100.0
1786388978.3261163,CRYPTO_NODE,ECC,52,111.49,100.0
1786388978.4465868,CRYPTO_NODE,ECC,53,111.61,100.0
1786388978.5686064,CRYPTO_NODE,ECC,54,111.48,100.0
1786388978.6907501,CRYPTO_NODE,ECC,55,111.63,100.0
1786388978.8122516,CRYPTO_NODE,ECC,56,111.56,100.0
1786388979.0246775,CRYPTO_NODE,ECC,57,111.57,100.0
1786388979.132105,CRYPTO_NODE,ECC,58,111.49,100.0
1786388979.2386353,CRYPTO_NODE,ECC,59,111.39,100.0
1786388979.3458366,CRYPTO_NODE,ECC,60,111.56,100.0
1786388979.4525952,CRYPTO_NODE,ECC,61,111.45,100.0
1786388979.5593748,CRYPTO_NODE,ECC,62,111.57,100.0
1786388979.666946,CRYPTO_NODE,ECC,63,111.56,100.0
1786388979.789105,CRYPTO_NODE,ECC,64,111.59,100.0
1786388979.9999075,CRYPTO_NODE,ECC,65,111.59,100.0
1786388980.1074948,CRYPTO_NODE,ECC,66,111.55,100.0
1786388980.213992,CRYPTO_NODE,ECC,67,111.61,100.0
1786388980.321434,CRYPTO_NODE,ECC,68,111.53,100.0
1786388980.4284549,CRYPTO_NODE,ECC,69,111.52,100.0
1786388980.5350032,CRYPTO_NODE,ECC,70,111.51,100.0
1786388980.6426365,CRYPTO_NODE,ECC,71,111.51,100.0
1786388980.7650466,CRYPTO_NODE,ECC,72,111.47,100.0
1786388980.9771612,CRYPTO_NODE,ECC,73,111.44,100.0
1786388981.0839639,CRYPTO_NODE,ECC,74,111.48,100.0
1786388981.191128,CRYPTO_NODE,ECC,75,111.58,100.0
1786388981.297774,CRYPTO_NODE,ECC,76,111.6,100.0
1786388981.4053135,CRYPTO_NODE,ECC,77,111.66,100.0
1786388981.5125468,CRYPTO_NODE,ECC,78,111.41,100.0
1786388981.620171,CRYPTO_NODE,ECC,79,111.61,100.0
1786388981.7401202,CRYPTO_NODE,ECC,80,111.5,100.0
1786388984.7851489,CRYPTO_NODE,ECC,81,111.87,100.0
1786388992.8149676,CRYPTO_NODE,ZKP,0,334.82,100.0
1786388992.8211384,CRYPTO_NODE,ZKP,1,334.69,100.0
1786388992.8269687,CRYPTO_NODE,ZKP,2,334.88,100.0
1786388992.8324733,CRYPTO_NODE,ZKP,3,334.54,100.0
1786388992.8379092,CRYPTO_NODE,ZKP,4,334.88,100.0
1786388992.8435247,CRYPTO_NODE,ZKP,5,334.49,100.0
1786388992.8491297,CRYPTO_NODE,ZKP,6,334.59,100.0
1786388992.9555821,CRYPTO_NODE,ZKP,7,334.6,100.0
1786388993.0627646,CRYPTO_NODE,ZKP,8,334.49,100.0
1786388993.2240763,CRYPTO_NODE,ZKP,9,334.87,100.0
1786388993.5659218,CRYPTO_NODE,ZKP,10,334.61,100.0
1786388993.9078722,CRYPTO_NODE,ZKP,11,334.89,100.0
1786388994.2514482,CRYPTO_NODE,ZKP,12,334.21,100.0
1786388994.5937142,CRYPTO_NODE,ZKP,13,334.5,100.0
1786388994.9381032,CRYPTO_NODE,ZKP,14,334.97,100.0
1786388995.1480875,CRYPTO_NODE,ECC,0,111.54,100.0
1786388995.2555764,CRYPTO_NODE,ECC,1,111.62,100.0
1786388995.362206,CRYPTO_NODE,ECC,2,111.48,100.0
1786388995.4687803,CRYPTO_NODE,ECC,3,111.46,100.0
1786388995.5762672,CRYPTO_NODE,ECC,4,111.43,100.0
1786388995.682843,CRYPTO_NODE,ECC,5,111.46,100.0
1786388995.7893314,CRYPTO_NODE,ECC,6,111.64,100.0
1786388995.9086344,CRYPTO_NODE,ECC,7,111.57,100.0
1786388996.033675,CRYPTO_NODE,ECC,8,111.55,100.0
1786388996.1545467,CRYPTO_NODE,ECC,9,111.64,100.0
1786388996.2772734,CRYPTO_NODE,ECC,10,111.41,100.0
1786388996.3973885,CRYPTO_NODE,ECC,11,111.63,100.0
1786388996.5204906,CRYPTO_NODE,ECC,12,111.58,100.0
1786388996.6416247,CRYPTO_NODE,ECC,13,111.6,100.0
1786388996.764306,CRYPTO_NODE,ECC,14,111.5,100.0
1786388996.8853416,CRYPTO_NODE,ECC,15,111.5,100.0
1786388997.097522,CRYPTO_NODE,ECC,16,111.47,100.0
1786388997.2041903,CRYPTO_NODE,ECC,17,111.49,100.0
1786388997.3118653,CRYPTO_NODE,ECC,18,111.47,100.0
1786388997.4194548,CRYPTO_NODE,ECC,19,111.53,100.0
1786388997.526662,CRYPTO_NODE,ECC,20,111.66,100.0
1786388997.634817,CRYPTO_NODE,ECC,21,111.61,100.0
1786388997.7421849,CRYPTO_NODE,ECC,22,111.43,100.0
1786388997.8598745,CRYPTO_NODE,ECC,23,111.5,100.0
1786388998.0731852,CRYPTO_NODE,ECC,24,111.55,100.0
1786388998.1805604,CRYPTO_NODE,ECC,25,111.39,100.0
1786388998.2883363,CRYPTO_NODE,ECC,26,111.58,100.0
1786388998.3959036,CRYPTO_NODE,ECC,27,111.61,100.0
1786388998.5023997,CRYPTO_NODE,ECC,28,111.47,100.0
1786388998.6092296,CRYPTO_NODE,ECC,29,111.63,100.0
1786388998.716715,CRYPTO_NODE,ECC,30,111.49,100.0
1786388998.8333557,CRYPTO_NODE,ECC,31,111.48,100.0
1786388999.0486004,CRYPTO_NODE,ECC,32,111.45,100.0
1786388999.1566415,CRYPTO_NODE,ECC,33,111.49,100.0
1786388999.263847,CRYPTO_NODE,ECC,34,111.47,100.0
1786388999.3714225,CRYPTO_NODE,ECC,35,111.46,100.0
1786388999.4791055,CRYPTO_NODE,ECC,36,111.51,100.0
1786388999.5867214,CRYPTO_NODE,ECC,37,111.55,100.0
1786388999.693542,CRYPTO_NODE,ECC,38,111.33,100.0
1786388999.807227,CRYPTO_NODE,ECC,39,111.53,100.0
1786388999.9315617,CRYPTO_NODE,ECC,40,111.48,100.0
1786389000.0530322,CRYPTO_NODE,ECC,41,111.35,100.0
1786389000.172882,CRYPTO_NODE,ECC,42,111.32,100.0
1786389000.2958748,CRYPTO_NODE,ECC,43,111.34,100.0
1786389000.416284,CRYPTO_NODE,ECC,44,111.42,100.0
1786389000.5364144,CRYPTO_NODE,ECC,45,111.55,100.0
1786389000.6592484,CRYPTO_NODE,ECC,46,111.57,100.0
1786389000.7812378,CRYPTO_NODE,ECC,47,111.62,100.0
1786389000.903426,CRYPTO_NODE,ECC,48,111.66,100.0
1786389001.0250683,CRYPTO_NODE,ECC,49,111.33,100.0
1786389001.1452005,CRYPTO_NODE,ECC,50,111.54,100.0
1786389001.267306,CRYPTO_NODE,ECC,51,111.45,100.0
1786389001.388878,CRYPTO_NODE,ECC,52,111.52,100.0
1786389001.5101378,CRYPTO_NODE,ECC,53,111.56,100.0
1786389001.6332939,CRYPTO_NODE,ECC,54,111.62,100.0
1786389001.755277,CRYPTO_NODE,ECC,55,111.34,100.0
1786389001.8755774,CRYPTO_NODE,ECC,56,111.53,100.0
1786389002.0880594,CRYPTO_NODE,ECC,57,111.67,100.0
1786389002.1945841,CRYPTO_NODE,ECC,58,111.49,100.0
1786389002.30107,CRYPTO_NODE,ECC,59,111.45,100.0
1786389002.4079847,CRYPTO_NODE,ECC,60,111.53,100.0
1786389002.5154994,CRYPTO_NODE,ECC,61,111.5,100.0
