Nodes,PayloadSize,ServiceRate,ArrivalRate,TrafficIntensity,AvgDelayMs,DropRate,EWJammingRate,SystemCrash
15,64,103.63,50,0.48248576666988324,14.147997700262135,10.0,0.1,0
15,64,103.63,50,0.48248576666988324,14.147997700262135,20.0,0.2,0
15,64,103.63,50,0.48248576666988324,14.147997700262135,30.0,0.3,0
20,64,103.63,50,0.48248576666988324,14.147997700262135,0.0,0.0,0
20,64,103.63,50,0.48248576666988324,14.147997700262135,10.0,0.1,0
20,64,103.63,50,0.48248576666988324,14.147997700262135,20.0,0.2,0
20,64,103.63,50,0.48248576666988324,14.147997700262135,30.0,0.3,0
25,64,103.63,50,0.48248576666988324,14.147997700262135,0.0,0.0,0
25,64,103.63,50,0.48248576666988324,14.147997700262135,10.0,0.1,0
25,64,103.63,50,0.48248576666988324,14.147997700262135,20.0,0.2,0
25,64,103.63,50,0.48248576666988324,14.147997700262135,30.0,0.3,0
30,64,103.63,50,0.48248576666988324,14.147997700262135,0.0,0.0,0
30,64,103.63,50,0.48248576666988324,14.147997700262135,10.0,0.1,0
30,64,103.63,50,0.48248576666988324,14.147997700262135,20.0,0.2,0
30,64,103.63,50,0.48248576666988324,14.147997700262135,30.0,0.3,0
50,64,103.63,50,0.48248576666988324,14.147997700262135,0.0,0.0,0
50,64,103.63,50,0.48248576666988324,14.147997700262135,10.0,0.1,0
50,64,103.63,50,0.48248576666988324,14.147997700262135,20.0,0.2,0
50,64,103.63,50,0.48248576666988324,14.147997700262135,30.0,0.3,0
100,64,103.63,50,0.48248576666988324,14.147997700262135,0.0,0.0,0
100,64,103.63,50,0.48248576666988324,14.147997700262135,10.0,0.1,0
100,64,103.63,50,0.48248576666988324,14.147997700262135,20.0,0.2,0
100,64,103.63,50,0.48248576666988324,14.147997700262135,30.0,0.3,0
3,64,103.63,100,0.9649715333397665,142.56590449865482,0.0,0.0,0
3,64,103.63,100,0.9649715333397665,142.56590449865482,10.0,0.1,0
3,64,103.63,100,0.9649715333397665,142.56590449865482,20.0,0.2,0
3,64,103.63,100,0.9649715333397665,142.56590449865482,30.0,0.3,0
5,64,103.63,100,0.9649715333397665,142.56590449865482,0.0,0.0,0
5,64,103.63,100,0.9649715333397665,142.56590449865482,10.0,0.1,0
5,64,103.63,100,0.9649715333397665,142.56590449865482,20.0,0.2,0
5,64,103.63,100,0.9649715333397665,142.56590449865482,30.0,0.3,0
10,64,103.63,100,0.9649715333397665,142.56590449865482,0.0,0.0,0
10,64,103.63,100,0.9649715333397665,142.56590449865482,10.0,0.1,0
10,64,103.63,100,0.9649715333397665,142.56590449865482,20.0,0.2,0
10,64,103.63,100,0.9649715333397665,142.56590449865482,30.0,0.3,0
15,64,103.63,100,0.9649715333397665,142.56590449865482,0.0,0.0,0
15,64,103.63,100,0.9649715333397665,142.56590449865482,10.0,0.1,0
15,64,103.63,100,0.9649715333397665,142.56590449865482,20.0,0.2,0
